id,durata_ticket,level,modello_macchina,durata,tipo_problema
179,63,1,NIDEK ME-750,0,difetto di fabbrica
180,76,1,NIDEK AR-500,0,rottura
181,42,1,NIDEK ICE-520,0,rottura
182,109,2,NIDEK OPD-520,52,logoramento
183,101,1,NIDEK TS-1050,0,elettronico
184,81,2,NIDEK AR-770,56,rottura
185,44,2,NIDEK NT-1050,28,logoramento
186,81,2,NIDEK LEX-910,37,rottura
187,74,1,NIDEK TS-920,0,software
188,78,1,NIDEK ICE-400,0,rottura
189,62,1,NIDEK OPD-2500,0,elettronico
190,38,2,NIDEK SE-750,49,elettronico
191,140,1,NIDEK RT-910,0,elettronico
192,50,1,NIDEK LEX-520,0,rottura
193,128,1,NIDEK LEX-2500,0,software
194,61,2,NIDEK PM-2500,40,software
195,75,2,NIDEK LE-800,18,difetto di fabbrica
196,85,1,NIDEK SL-400,0,rottura
197,51,2,NIDEK LEX-2500,49,rottura
198,77,1,NIDEK LT-1050,0,rottura
199,64,1,NIDEK RT-750,0,elettronico
200,58,2,NIDEK LFU-120,50,difetto di fabbrica
201,89,2,NIDEK RT-5500,47,software
202,67,1,NIDEK ME-1050,0,logoramento
203,100,1,NIDEK ME-770,0,logoramento
204,12,1,NIDEK PM-520,0,logoramento
205,77,1,NIDEK AR-5500,0,rottura
206,63,1,NIDEK AR-3000,0,difetto di fabbrica
207,70,1,NIDEK LM-320,0,software
208,80,2,NIDEK AR-5500,68,elettronico
209,95,1,NIDEK SL-2500,0,difetto di fabbrica
210,88,2,NIDEK LFU-910,57,elettronico
211,81,1,NIDEK PM-500,0,rottura
212,78,2,NIDEK ICE-520,45,elettronico
213,52,2,NIDEK SL-2500,42,elettronico
214,25,1,NIDEK SE-400,0,rottura
215,87,2,NIDEK ME-750,18,rottura
216,97,2,NIDEK TS-5500,34,difetto di fabbrica
217,71,1,NIDEK LEX-1050,0,rottura
218,68,1,NIDEK TS-750,0,logoramento
219,82,2,NIDEK RT-770,48,elettronico
220,52,1,NIDEK SC-400,0,rottura
221,60,1,NIDEK NT-1050,0,difetto di fabbrica
222,55,2,NIDEK PM-400,53,software
223,51,1,NIDEK ICE-2500,0,rottura
224,98,1,NIDEK PM-800,0,rottura
225,120,2,NIDEK LT-2500,30,software
226,119,2,NIDEK ME-1050,53,logoramento
227,23,1,NIDEK RT-750,0,logoramento
228,77,1,NIDEK LFU-120,0,difetto di fabbrica
229,25,1,NIDEK PM-1050,0,elettronico
230,44,2,NIDEK PM-320,66,elettronico
231,114,1,NIDEK PM-770,0,software
232,79,1,NIDEK PM-400,0,elettronico
233,71,2,NIDEK SC-320,32,elettronico
234,126,2,NIDEK SC-770,23,software
235,29,1,NIDEK LEX-910,0,software
236,73,1,NIDEK AR-910,0,rottura
237,85,2,NIDEK SE-1050,9,logoramento
238,78,2,NIDEK PM-3000,59,rottura
239,56,1,NIDEK LFU-800,0,logoramento
240,79,2,NIDEK TS-2500,32,logoramento
241,13,1,NIDEK LT-2500,0,difetto di fabbrica
242,104,2,NIDEK PM-1050,68,logoramento
243,83,1,NIDEK AR-750,0,software
244,106,1,NIDEK ICE-3000,0,difetto di fabbrica
245,56,2,NIDEK LEX-910,32,elettronico
246,64,2,NIDEK RT-320,20,difetto di fabbrica
247,116,1,NIDEK SC-320,0,difetto di fabbrica
248,76,1,NIDEK LT-500,0,rottura
249,64,2,NIDEK NT-1050,45,difetto di fabbrica
250,80,1,NIDEK PM-1050,0,rottura
251,94,1,NIDEK LFU-2500,0,logoramento
252,43,2,NIDEK SL-2000,37,rottura
253,79,2,NIDEK NT-910,55,logoramento
254,62,1,NIDEK ME-3000,0,logoramento
255,81,1,NIDEK PM-770,0,difetto di fabbrica
256,55,2,NIDEK NT-1050,39,difetto di fabbrica
257,87,1,NIDEK PM-5500,0,logoramento
258,76,1,NIDEK SE-770,0,logoramento
259,100,1,NIDEK PM-3000,0,logoramento
260,81,2,NIDEK LM-400,47,logoramento
261,57,1,NIDEK AR-500,0,difetto di fabbrica
262,19,2,NIDEK LE-5500,39,elettronico
263,75,2,NIDEK SE-800,30,software
264,99,1,NIDEK LEX-1050,0,logoramento
265,107,2,NIDEK ME-5500,12,software
266,106,2,NIDEK SE-500,57,logoramento
267,61,1,NIDEK NT-920,0,elettronico
268,77,1,NIDEK SL-2000,0,difetto di fabbrica
269,94,1,NIDEK PM-5500,0,elettronico
270,89,1,NIDEK LT-5500,0,rottura
271,87,2,NIDEK OPD-750,63,elettronico
272,63,1,NIDEK ICE-400,0,elettronico
273,85,1,NIDEK NT-520,0,difetto di fabbrica
274,84,2,NIDEK LM-320,31,rottura
275,91,1,NIDEK RT-120,0,rottura
276,99,1,NIDEK OPD-5500,0,elettronico
277,73,2,NIDEK LT-770,41,rottura
278,81,2,NIDEK RT-120,45,rottura
279,117,1,NIDEK TS-1050,0,software
280,86,2,NIDEK TS-120,57,elettronico
281,64,2,NIDEK RT-5500,42,elettronico
282,56,1,NIDEK LFU-770,0,elettronico
283,134,1,NIDEK NT-3000,0,difetto di fabbrica
284,49,2,NIDEK AR-1050,37,elettronico
285,50,2,NIDEK SC-800,2,logoramento
286,41,2,NIDEK OPD-800,27,logoramento
287,119,2,NIDEK PM-920,46,difetto di fabbrica
288,97,1,NIDEK LM-3000,0,logoramento
289,87,1,NIDEK ME-1050,0,elettronico
290,69,1,NIDEK LFU-1050,0,logoramento
291,93,2,NIDEK LEX-500,29,elettronico
292,94,2,NIDEK LE-320,48,difetto di fabbrica
293,54,1,NIDEK RT-5500,0,software
294,42,1,NIDEK LE-520,0,elettronico
295,83,2,NIDEK LT-750,20,difetto di fabbrica
296,99,2,NIDEK ME-320,46,elettronico
297,37,2,NIDEK LE-5500,30,software
298,80,1,NIDEK LFU-400,0,logoramento
299,74,2,NIDEK SL-770,53,difetto di fabbrica
300,86,1,NIDEK LEX-770,0,software
301,102,2,NIDEK PM-770,50,rottura
302,75,1,NIDEK NT-3000,0,difetto di fabbrica
303,27,2,NIDEK SL-5500,39,software
304,61,2,NIDEK NT-5500,47,difetto di fabbrica
305,85,2,NIDEK SE-3000,25,logoramento
306,94,1,NIDEK NT-400,0,elettronico
307,94,1,NIDEK SC-5500,0,software
308,67,1,NIDEK ME-320,0,elettronico
309,41,1,NIDEK SL-520,0,rottura
310,119,2,NIDEK RT-3000,34,software
311,88,1,NIDEK SC-920,0,rottura
312,53,2,NIDEK SC-1050,43,software
313,106,1,NIDEK LM-920,0,logoramento
314,75,1,NIDEK PM-770,0,difetto di fabbrica
315,72,1,NIDEK ICE-910,0,rottura
316,62,2,NIDEK AR-1050,39,elettronico
317,65,1,NIDEK LM-750,0,difetto di fabbrica
318,94,2,NIDEK LE-1050,20,difetto di fabbrica
319,104,2,NIDEK LFU-2500,33,difetto di fabbrica
320,47,1,NIDEK TS-3000,0,rottura
321,19,2,NIDEK LE-770,65,elettronico
322,85,1,NIDEK SC-5500,0,software
323,74,1,NIDEK SE-920,0,rottura
324,105,1,NIDEK LFU-750,0,rottura
325,66,2,NIDEK SE-120,46,software
326,81,1,NIDEK TS-5500,0,software
327,97,2,NIDEK ME-320,61,logoramento
328,94,2,NIDEK LT-1050,37,rottura
329,86,2,NIDEK PM-1050,53,software
330,49,2,NIDEK RT-320,10,software
331,94,2,NIDEK ME-120,51,logoramento
332,111,1,NIDEK SL-400,0,difetto di fabbrica
333,51,2,NIDEK LM-1050,61,elettronico
334,72,2,NIDEK LE-910,52,difetto di fabbrica
335,82,1,NIDEK SE-5500,0,rottura
336,57,2,NIDEK SE-2000,39,difetto di fabbrica
337,98,2,NIDEK AR-320,39,software
338,88,1,NIDEK TS-910,0,rottura
339,74,2,NIDEK PM-520,48,rottura
340,29,2,NIDEK LM-5500,52,logoramento
341,56,2,NIDEK OPD-750,42,logoramento
342,122,1,NIDEK TS-2500,0,rottura
343,74,1,NIDEK LM-1050,0,software
344,45,2,NIDEK ICE-500,41,difetto di fabbrica
345,79,2,NIDEK LFU-320,37,elettronico
346,99,1,NIDEK LEX-400,0,elettronico
347,105,2,NIDEK SC-770,38,software
348,111,1,NIDEK LM-5500,0,rottura
349,101,2,NIDEK OPD-2000,51,logoramento
350,75,2,NIDEK TS-910,58,software
351,45,1,NIDEK LFU-5500,0,logoramento
352,85,2,NIDEK NT-3000,27,elettronico
353,90,2,NIDEK SC-770,33,software
354,83,2,NIDEK AR-920,33,difetto di fabbrica
355,100,1,NIDEK TS-400,0,software
356,75,2,NIDEK ICE-120,55,rottura
357,86,1,NIDEK OPD-2000,0,logoramento
358,102,2,NIDEK LEX-1050,52,elettronico
359,41,1,NIDEK SL-120,0,software
360,71,1,NIDEK NT-320,0,elettronico
361,78,1,NIDEK LM-910,0,rottura
362,79,2,NIDEK SL-520,30,software
363,70,1,NIDEK PM-800,0,software
364,95,1,NIDEK PM-5500,0,logoramento
365,41,1,NIDEK ICE-5500,0,software
366,126,1,NIDEK LFU-1050,0,difetto di fabbrica
367,79,1,NIDEK SE-2000,0,logoramento
368,68,2,NIDEK SL-1050,27,difetto di fabbrica
369,42,2,NIDEK LT-520,23,elettronico
370,94,1,NIDEK SC-1050,0,elettronico
371,89,2,NIDEK OPD-2000,31,difetto di fabbrica
372,90,1,NIDEK ME-3000,0,logoramento
373,45,2,NIDEK PM-1050,40,logoramento
374,72,2,NIDEK LM-750,47,difetto di fabbrica
375,71,2,NIDEK SC-800,51,rottura
376,124,2,NIDEK SL-520,37,elettronico
377,84,1,NIDEK TS-5500,0,logoramento
378,99,1,NIDEK SC-910,0,rottura
379,23,2,NIDEK PM-920,66,software
380,56,1,NIDEK LEX-910,0,software
381,106,2,NIDEK RT-920,11,rottura
382,51,1,NIDEK LT-2500,0,software
383,120,2,NIDEK ME-500,29,elettronico
384,115,1,NIDEK SE-770,0,logoramento
385,93,1,NIDEK LEX-910,0,difetto di fabbrica
386,83,1,NIDEK OPD-400,0,elettronico
387,115,2,NIDEK SL-750,31,difetto di fabbrica
388,89,1,NIDEK RT-3000,0,logoramento
389,60,2,NIDEK OPD-520,42,logoramento
390,32,1,NIDEK SE-1050,0,difetto di fabbrica
391,55,1,NIDEK ME-770,0,rottura
392,66,1,NIDEK SC-120,0,difetto di fabbrica
393,97,1,NIDEK LM-520,0,rottura
394,89,2,NIDEK ME-5500,25,software
395,92,1,NIDEK AR-120,0,rottura
396,109,1,NIDEK OPD-320,0,rottura
397,120,1,NIDEK AR-750,0,rottura
398,82,1,NIDEK NT-920,0,software
399,97,2,NIDEK LFU-2500,48,elettronico
400,73,1,NIDEK LT-520,0,elettronico
401,128,1,NIDEK AR-320,0,logoramento
402,63,1,NIDEK NT-5500,0,logoramento
403,76,1,NIDEK RT-320,0,difetto di fabbrica
404,110,1,NIDEK LM-5500,0,logoramento
405,21,1,NIDEK PM-3000,0,rottura
406,96,1,NIDEK SL-400,0,rottura
407,114,1,NIDEK OPD-800,0,rottura
408,88,1,NIDEK LM-5500,0,difetto di fabbrica
409,67,1,NIDEK SE-320,0,difetto di fabbrica
410,104,1,NIDEK ME-500,0,difetto di fabbrica
411,63,1,NIDEK TS-920,0,software
412,72,1,NIDEK LT-770,0,elettronico
413,93,1,NIDEK OPD-750,0,rottura
414,33,2,NIDEK SC-920,22,elettronico
415,100,1,NIDEK AR-2000,0,difetto di fabbrica
416,63,2,NIDEK OPD-320,46,logoramento
417,47,2,NIDEK NT-320,15,logoramento
418,94,1,NIDEK TS-120,0,logoramento
419,127,2,NIDEK SE-1050,56,software
420,66,2,NIDEK ICE-920,73,elettronico
421,44,2,NIDEK LFU-800,38,software
422,62,1,NIDEK LEX-770,0,elettronico
423,87,1,NIDEK SC-5500,0,difetto di fabbrica
424,70,1,NIDEK ICE-1050,0,difetto di fabbrica
425,68,2,NIDEK LT-5500,50,logoramento
426,79,1,NIDEK LM-500,0,software
427,86,2,NIDEK ICE-800,33,software
428,70,2,NIDEK ICE-2000,35,logoramento
429,29,1,NIDEK TS-500,0,rottura
430,74,1,NIDEK PM-1050,0,software
431,87,1,NIDEK LFU-920,0,software
432,36,1,NIDEK NT-2500,0,software
433,66,2,NIDEK ICE-5500,22,elettronico
434,99,2,NIDEK LT-750,58,software
435,24,2,NIDEK LE-1050,41,software
436,108,1,NIDEK LFU-400,0,software
437,70,2,NIDEK LT-750,36,difetto di fabbrica
438,75,2,NIDEK AR-120,73,software
439,68,1,NIDEK LEX-750,0,elettronico
440,73,2,NIDEK LM-800,22,logoramento
441,89,2,NIDEK AR-800,50,logoramento
442,44,2,NIDEK LE-800,56,rottura
443,94,1,NIDEK SE-750,0,logoramento
444,105,1,NIDEK LT-910,0,logoramento
445,71,2,NIDEK LM-120,35,software
446,35,2,NIDEK ME-800,55,logoramento
447,119,1,NIDEK SC-800,0,software
448,62,2,NIDEK LM-1050,26,logoramento
449,40,2,NIDEK LFU-770,13,difetto di fabbrica
450,108,2,NIDEK SE-2500,27,software
451,99,1,NIDEK SL-400,0,logoramento
452,118,1,NIDEK TS-800,0,software
453,101,1,NIDEK SL-910,0,difetto di fabbrica
454,57,2,NIDEK OPD-800,27,elettronico
455,75,1,NIDEK ICE-800,0,elettronico
456,92,1,NIDEK LM-770,0,rottura
457,109,1,NIDEK ME-500,0,logoramento
458,95,1,NIDEK PM-920,0,logoramento
459,86,2,NIDEK LEX-2000,0,elettronico
460,72,1,NIDEK LEX-800,0,rottura
461,74,1,NIDEK PM-910,0,software
462,22,1,NIDEK OPD-320,0,logoramento
463,80,1,NIDEK AR-770,0,software
464,82,2,NIDEK LFU-500,46,difetto di fabbrica
465,51,1,NIDEK PM-500,0,rottura
466,60,2,NIDEK LEX-750,52,elettronico
467,44,2,NIDEK LFU-910,51,software
468,15,2,NIDEK TS-400,40,software
469,54,1,NIDEK LEX-750,0,software
470,85,1,NIDEK RT-520,0,logoramento
471,29,1,NIDEK SL-2000,0,elettronico
472,76,1,NIDEK ME-3000,0,rottura
473,89,1,NIDEK LFU-5500,0,software
474,113,1,NIDEK TS-2000,0,rottura
475,88,1,NIDEK LE-2500,0,difetto di fabbrica
476,79,2,NIDEK LT-500,27,logoramento
477,83,2,NIDEK PM-770,78,logoramento
478,66,2,NIDEK PM-2500,52,rottura
479,84,2,NIDEK LT-750,36,elettronico
480,79,1,NIDEK TS-5500,0,difetto di fabbrica
481,64,1,NIDEK LM-400,0,logoramento
482,52,1,NIDEK ICE-1050,0,rottura
483,76,2,NIDEK LE-120,36,elettronico
484,85,1,NIDEK PM-920,0,software
485,83,1,NIDEK LT-3000,0,difetto di fabbrica
486,44,1,NIDEK ICE-3000,0,elettronico
487,79,1,NIDEK OPD-1050,0,elettronico
488,44,2,NIDEK SL-1050,14,elettronico
489,89,2,NIDEK ICE-400,41,logoramento
490,78,1,NIDEK LT-1050,0,elettronico
491,91,1,NIDEK OPD-500,0,rottura
492,55,1,NIDEK LE-1050,0,logoramento
493,69,2,NIDEK LT-920,38,elettronico
494,93,1,NIDEK SL-800,0,rottura
495,65,2,NIDEK NT-910,31,rottura
496,75,2,NIDEK LE-2500,34,elettronico
497,78,1,NIDEK SE-400,0,rottura
498,78,2,NIDEK LM-800,50,software
499,93,2,NIDEK RT-920,46,software
500,112,2,NIDEK SC-2000,41,logoramento
501,88,2,NIDEK SL-400,49,elettronico
502,100,2,NIDEK LM-910,26,difetto di fabbrica
503,54,2,NIDEK TS-2000,54,elettronico
504,94,1,NIDEK AR-520,0,rottura
505,66,2,NIDEK SE-120,49,difetto di fabbrica
506,129,2,NIDEK SL-750,50,elettronico
507,74,1,NIDEK LM-520,0,logoramento
508,57,2,NIDEK LT-1050,12,rottura
509,79,2,NIDEK LFU-910,13,elettronico
510,102,1,NIDEK NT-1050,0,elettronico
511,72,1,NIDEK LFU-750,0,logoramento
512,100,1,NIDEK SL-320,0,elettronico
513,55,2,NIDEK TS-920,43,difetto di fabbrica
514,89,1,NIDEK LM-520,0,software
515,36,1,NIDEK SE-400,0,rottura
516,92,2,NIDEK SE-1050,45,logoramento
517,71,2,NIDEK LE-120,45,rottura
518,96,2,NIDEK RT-770,32,difetto di fabbrica
519,94,1,NIDEK LM-320,0,logoramento
520,64,2,NIDEK LT-120,44,software
521,93,2,NIDEK SC-320,68,software
522,69,2,NIDEK LFU-1050,50,elettronico
523,68,2,NIDEK LE-120,72,rottura
524,111,2,NIDEK PM-1050,63,difetto di fabbrica
525,75,2,NIDEK LT-1050,30,software
526,77,2,NIDEK LE-500,38,software
527,61,1,NIDEK LE-750,0,logoramento
528,109,1,NIDEK OPD-1050,0,rottura
529,61,1,NIDEK TS-320,0,difetto di fabbrica
530,88,1,NIDEK SL-520,0,difetto di fabbrica
531,59,2,NIDEK NT-3000,38,rottura
532,98,1,NIDEK LE-400,0,elettronico
533,53,1,NIDEK ME-2000,0,software
534,60,2,NIDEK LFU-120,23,software
535,122,2,NIDEK LFU-1050,40,software
536,69,2,NIDEK RT-1050,51,elettronico
537,67,2,NIDEK LFU-500,28,rottura
538,98,2,NIDEK RT-2000,48,elettronico
539,94,1,NIDEK TS-400,0,software
540,85,1,NIDEK PM-750,0,software
541,56,2,NIDEK AR-5500,57,logoramento
542,95,1,NIDEK SE-320,0,difetto di fabbrica
543,93,1,NIDEK SE-5500,0,software
544,78,2,NIDEK ICE-770,10,elettronico
545,54,1,NIDEK OPD-800,0,rottura
546,59,2,NIDEK LFU-770,35,difetto di fabbrica
547,36,1,NIDEK TS-3000,0,software
548,97,1,NIDEK SC-2000,0,software
549,65,2,NIDEK LEX-120,34,difetto di fabbrica
550,75,2,NIDEK SL-920,24,elettronico
551,91,2,NIDEK OPD-1050,44,logoramento
552,51,1,NIDEK LE-920,0,elettronico
553,57,1,NIDEK AR-800,0,elettronico
554,63,2,NIDEK TS-120,67,logoramento
555,54,1,NIDEK SL-3000,0,rottura
556,69,1,NIDEK SC-3000,0,difetto di fabbrica
557,35,1,NIDEK SC-2000,0,software
558,83,2,NIDEK AR-770,50,software
559,131,1,NIDEK AR-800,0,software
560,34,1,NIDEK LE-3000,0,elettronico
561,120,1,NIDEK SC-770,0,elettronico
562,85,2,NIDEK NT-910,55,difetto di fabbrica
563,117,1,NIDEK NT-2000,0,elettronico
564,93,2,NIDEK ICE-500,55,logoramento
565,85,1,NIDEK ICE-800,0,logoramento
566,84,2,NIDEK SL-770,49,software
567,62,1,NIDEK SC-770,0,software
568,79,1,NIDEK ICE-5500,0,rottura
569,35,1,NIDEK LEX-520,0,logoramento
570,91,2,NIDEK LM-520,55,logoramento
571,78,2,NIDEK ME-910,21,rottura
572,96,2,NIDEK RT-1050,45,rottura
573,91,1,NIDEK LM-800,0,software
574,49,1,NIDEK LM-2500,0,software
575,81,2,NIDEK OPD-2500,57,rottura
576,108,1,NIDEK LFU-2500,0,rottura
577,99,2,NIDEK SL-1050,24,elettronico
578,84,1,NIDEK RT-920,0,elettronico
579,111,1,NIDEK LEX-5500,0,elettronico
580,102,2,NIDEK LM-770,15,logoramento
581,45,2,NIDEK RT-5500,56,difetto di fabbrica
582,109,1,NIDEK ICE-1050,0,software
583,89,2,NIDEK ME-520,41,rottura
584,87,1,NIDEK LE-1050,0,elettronico
585,73,1,NIDEK ICE-770,0,logoramento
586,45,1,NIDEK LM-770,0,logoramento
587,54,1,NIDEK LE-520,0,difetto di fabbrica
588,42,1,NIDEK ICE-1050,0,logoramento
